"","Sitio","AMBIENTE","Estacion","MDS1","MDS2"
"1","SAN MARTIN","PLAYA INTERVENIDA","Invierno",0.136801406278238,-0.0654666890739502
"2","PLAYA LOS PLACERES","PLAYA INTERVENIDA","Invierno",-0.31686081613028,0.0526388034930257
"3","PLAYA AMARILLA","PLAYA INTERVENIDA","Invierno",-0.342653290078465,0.235726329089158
"4","CALETA PORTALES","PLAYA INTERVENIDA","Primavera",-0.333477280299418,-0.38934328332414
"5","PLAYA LOS PLACERES","PLAYA INTERVENIDA","Primavera",-0.653391346744193,-0.332502046744726
"6","PLAYA LOS LILENES","PLAYA INTERVENIDA","Primavera",-0.219354231018765,-0.241728781211594
"7","SAN MARTIN","PLAYA INTERVENIDA","Primavera",0.0421821049192983,-0.187737022058338
"8","PLAYA SAN MATEO","PLAYA NATURAL","Invierno",-0.387152954804595,0.200756461166351
"9","PLAYA LA BOCA","PLAYA NATURAL","Invierno",-0.479494200435182,0.232699183849758
"10","PLAYA LAS SALINAS","PLAYA NATURAL","Invierno",-0.387259880559727,0.476270364078229
"11","LAGUNA VERDE","PLAYA NATURAL","Invierno",0.0813014637712797,0.401904559331686
"12","LAGUNA VERDE","PLAYA NATURAL","Primavera",-0.00714941509886225,-0.649788922437972
"13","PLAYA LA BOCA","PLAYA NATURAL","Primavera",-0.454584495739341,-0.525593916794824
"14","PLAYA SAN MATEO","PLAYA NATURAL","Primavera",-0.523819890176961,-0.301695134890285
"15","PLAYA LAS SALINAS","PLAYA NATURAL","Primavera",-0.397546284224743,-0.276337623953178
"16","HUMEDAL RENACA","PLAYA NATURAL","Primavera",-0.102139861330621,-0.374562608302448
"17","CALETA SAN PEDRO","ROCA INTERVENIDA","Invierno",0.10279416596864,0.11476735953422
"18","CLUB DE YATES","ROCA INTERVENIDA","Invierno",-0.10345126854895,0.000661537456735219
"19","CALETA EL MEMBRILLO","ROCA INTERVENIDA","Invierno",-0.413118608566791,-0.118580095450124
"20","MUELLE BARON","ROCA INTERVENIDA","Invierno",-0.231060224710921,0.546067863370253
"21","AVENIDA PERU","ROCA INTERVENIDA","Invierno",0.0755937171382435,0.229896579952963
"22","CLUB DE YATES","ROCA INTERVENIDA","Primavera",0.010116825778504,-0.330237601440266
"23","CALETA SAN PEDRO","ROCA INTERVENIDA","Primavera",-0.0575838360750777,-0.475392412216405
"24","CALETA EL MEMBRILLO","ROCA INTERVENIDA","Primavera",-0.519067430036048,-0.209403074118251
"25","MARINA RECREO","ROCA INTERVENIDA","Primavera",-0.0388597481896255,-0.235488973537444
"26","MIRADOR DE CORDOBA","ROCA NATURAL","Invierno",-0.165793700042709,0.255438572141184
"27","RENACA -2","ROCA NATURAL","Invierno",-0.469322895512941,0.375698551502578
"28","VIRGEN NEGRA","ROCA NATURAL","Invierno",-0.38926050402625,0.412038717285698
"29","MIRADOR VIENTO SUR","ROCA NATURAL","Invierno",-0.110797901879424,0.530848447605606
"30","ROCA OCEANICA","ROCA NATURAL","Invierno",-0.0636907882169275,0.485293517158736
"31","RENACA -2","ROCA NATURAL","Primavera",-0.443763803561831,-0.0652582111844792
"32","MIRADOR DE CORDOBA","ROCA NATURAL","Primavera",-0.54003192728027,-0.000903965405352531
"33","SECTOR COSTA BRAVA","ROCA NATURAL","Primavera",-0.607326490716844,0.064793209150119
"34","ROCA OCEANICA","ROCA NATURAL","Primavera",-0.667914920977352,0.15268240167551
"35","MIRADOR VIENTO SUR","ROCA NATURAL","Primavera",-0.599865648625642,0.148971829399215
"36","PLAZA ANIBAL PINTO","URBANO","Invierno",0.619058905367529,-0.660736022777097
"37","CONGRESO","URBANO","Invierno",0.39426833251949,-0.48312860672573
"38","CENTRO CIVICO","URBANO","Invierno",0.458522410446726,-0.0785355041619016
"39","PASEO DEL ALTO","URBANO","Invierno",0.503259357221159,-0.0721512804496024
"40","TERMINAL","URBANO","Primavera",0.558990240883772,-0.373603011918703
"41","PLAZA ANIBAL PINTO","URBANO","Primavera",0.463717327910657,-0.368060162519084
"42","CONGRESO","URBANO","Primavera",0.462863963166184,-0.367758599406581
"43","RENACA CENTRO","URBANO","Primavera",0.34516411393807,-0.168719842595033
"44","PASEO DEL ALTO","URBANO","Primavera",0.411861530394718,-0.013904040634609
"45","CENTRO CIVICO","URBANO","Primavera",0.456002019013767,0.0527729859264722
"46","PLAZA LAS SIRENAS","VERDE","Invierno",0.569606088624014,0.26527552636694
"47","PARQUE EL LITRE","VERDE","Invierno",0.565582499620281,0.344618817984512
"48","PLAZA GABRIELA MISTRAL","VERDE","Invierno",0.728027770774795,0.344316680150145
"49","PARQUE EL LITRE","VERDE","Primavera",0.71710172988942,0.0185476224617209
"50","PARQUE ITALIA","VERDE","Primavera",0.658114711897562,-0.224673471806447
"51","PLAZA GABRIELA MISTRAL","VERDE","Primavera",0.475808188793878,0.150515807716575
"52","PLAZA LAS SIRENAS","VERDE","Primavera",0.450351759779097,0.370053517291503
"53","PLAZA LAS MISAS","VERDE","Primavera",0.495060057408889,0.418414991553
